履歴を	表示
される	文献分析や
統計的な	文献分析や
文献分析や	研究などの
学術的な	風土の
風土の	ために
ために	発表できなかった
発表できなかった	研究などの
研究などの	問題を
問題を	考慮した
考慮した	見方を
体系的な	見方を
見方を	提供する
提供する	ことに
ことに	加え
加え	用いた
[	自然言語処理機能を
110]、人工知能や	自然言語処理機能を
自然言語処理機能を	用いた
用いた	分析を
厳密で	高い
透明性の	高い
高い	分析を
分析を	行う
行う	ことで
ことで	解決しようと
科学的な	再現性の
再現性の	危機を
危機を	解決しようと
ある程度	解決しようと
解決しようと	試みている
試みている	[111]。
将棋AIは	生み出しているが
人間同士AI同士の	対局から
対局から	学習して
学習して	生み出しているが
新しい	戦法を
戦法を	生み出しているが
生み出しているが	[112]。
プロ棋士	人間の
人間の	感覚では
感覚では	指すと
不可解ながら	指すと
実際に	指すと
指すと	[112]。
有用であるという	[112]。
スポーツの	分野では
分野では	[113]。
AIは	[113]。
選手の	怪我の
怪我の	リスクや
リスクや	パフォーマンスを
チームの	パフォーマンスを
パフォーマンスを	予測するのに
予測するのに	役立つ
役立つ	[113]。
メタ分析に	よれば
よれば	[121]。
AIが	行う
政治的な	意思決定を
意思決定を	行う
行う	ことも
ことも	[121]。
2020年時点では	注目されておらず
学術界では	注目されておらず
まだ	注目されておらず
注目されておらず	[121]。
AIと	政治に関する
政治に関する	トピックは
トピックは	[121]。
学術界では	[121]。
ビッグデータや	ソーシャルメディアにおける
ソーシャルメディアにおける	政治的問題に関する
政治的問題に関する	研究が
研究が	なっていた
中心と	なっていた
なっていた	[114]。人工知能による
[114]。人工知能による	人類絶滅の
人類絶滅の	危険を
危険を	懸念する
懸念する	声が
声が	存在するが
存在するが	[121]。
[	115][
115][	116][117][118][119]、一方で
116][117][118][119]、一方で	促進する
平和を	促進する
促進する	ための
ための	応用も
文化的な	応用も
応用も	存在する
存在する	120]。系統的レビューの
[	120]。系統的レビューの
120]。系統的レビューの	中には
中には	借りてこそ
人工知能の	人間を
人間を	理解する
理解する	能力を
能力を	借りてこそ
借りてこそ	できると
テクノロジーは	できると
人類に	できると
真の	貢献が
貢献が	できると
できると	分析する
分析する	ものも
ものも	ある
ある	[121]。
一般業務と	経済活動
2000年代は	導入されていった
統計的機械学習によって	導入され
数値予測や	故障診断などといった
故障診断などといった	アプリケーションが
アプリケーションが	導入され
企業に	導入され
導入され	導入されていった
2013年以降は	導入されていった
深層学習を	した
中核と	した
した	画像認識アルゴリズムが
画像認識アルゴリズムが	導入されていった
監視業務	分類業務に
分類業務に	導入されていった
現在まで	確認され
最も	顕著に
顕著に	確認され
確認され	成熟した
既に	成熟した
成熟した	業務への
業務への	導入事例は
導入事例は	以下のようになっている
以下のようになっている	[要出典]
(ここでは	少ない
大規模言語モデル登場以前の	AI事例を
シンプルな	AI事例を
AI事例を	列挙する
簡潔に	列挙する
列挙する	)　しか
)　しか	し
し	気づくように
以下を	見て
見て	気づくように
気づくように	頭脳労働であり
殆どが	頭脳労働であり
頭脳労働であり	少ない
介護や	土木建築などの
土木建築などの	コミュニケーションが
細やかな	コミュニケーションが
手作業や	コミュニケーションが
コミュニケーションが	要求される
要求される	ブルーカラー業務への
ブルーカラー業務への	導入事例は
導入事例は	少ない
少ない	[要出典]
LSTMを	使用した
使用した	株価推移予測
株価推移予測	電力需要予測
電力需要予測	交通量予測[
交通量予測[	122][123]
畳み込み	使用した
ニューラルネットを	使用した
使用した	監視業務の
監視業務の	自動化
自動化	特徴別分類
画像の	特徴別分類
特徴別分類	キング[124]
紙文書の	デジタル化(OCR)、産業ロボットにおける
デジタル化(OCR)、産業ロボットにおける	キング[124]
ピッ	キング[124]
自然言語処理技術	構文予測技術を
構文予測技術を	応用した
応用した	コールセンター業務の
コールセンター業務の	支援
支援	検知[125]
迷惑電話の	検知[125]
RPA(業務自動化ソフト)と	特化型AIを
特化型AIを	連結させた
連結させた	事務作業の
事務作業の	効率化
効率化	作成[126]
営業計画の	作成[126]
検索エンジンや	論文の
論文の	ランキングアルゴリズム[
ランキングアルゴリズム[	127]
電子商取引や	動画サイトにおける
動画サイトにおける	個々人に
個々人に	最適化した
最適化した	推薦アルゴリズム[
推薦アルゴリズム[	128]
エキスパートシステムによる	専門家の
専門家の	知識条件判断自動化
知識条件判断自動化	129][130]
人事評価[	129][130]
気象業務における	数値予報から
数値予報から	131]
ガイダンスの	作成と
作成と	フィルタリング[
外れ値の	フィルタリング[
フィルタリング[	131]
物流や	運輸における
運輸における	ルート最適化と
ルート最適化と	132]
荷積み最適化[	132]
写真や	音楽の
音楽の	ノイズ除去
犯罪捜査や	軍事計画の
軍事計画の	策定[133]
文化人類学と	考古学
そのほか	用いられてきた
古代遺跡や	古代文明の
古代文明の	文化そのものを
文化そのものを	分析し
分析し	解読する
解読する	作業にも
作業にも	用いられてきた
特化型AIが	用いられてきた
ナスカの	地上絵の
地上絵の	自動検知と
自動検知と	134]
カタログ化[	134]
古代文字と	文章の
文章の	解読[
解読[	135][136]
詳細は	参照
人工知能の	歴史を
歴史を	参照
人工知能の	未来
AIが	もたらす
もたらす	未来の
未来の	シナリオも
シナリオも	参照
エージェントアプローチ人工知能	第4版の
2022年グローバル	第4版の
第4版の	最終章最終節
最終章最終節	結論は
結論は	与えており
未来は	向かうのだろうかと
どちらへ	向かうのだろうかと
向かうのだろうかと	述べて
述べて	続けた
次のように	続けた
続けた	[
[	17]。今までの
17]。今までの	AIや
AIや	科学技術は
他の	科学技術は
革命的な	科学技術は
科学技術は	与えており
社会へ	与えると同時に
好影響を	与えると同時に
与えると同時に	与えており
不利な	階級へ
階級へ	与えており
悪影響を	与えており
与えており	[17]。
